"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.24517811404827,0.917,0.081,0,"1","C1qa"
0,4.58727421008343,0.939,0.11,0,"1","Csf1r"
0,6.38283760442677,0.941,0.113,0,"1","C1qc"
0,4.68136632624089,0.911,0.087,0,"1","C3ar1"
0,3.3706230730548,0.974,0.15,0,"1","Laptm5"
0,4.13901720483173,0.943,0.124,0,"1","Fcgr3"
0,4.12322659875002,0.92,0.121,0,"1","Fcgr2b"
0,3.98949949706479,0.957,0.168,0,"1","Cd68"
0,3.35610219763735,0.995,0.208,0,"1","Fcer1g"
0,4.77866675434625,0.87,0.088,0,"1","Mrc1"
0,6.11807028081642,0.953,0.172,0,"1","C1qb"
0,4.25699031483101,0.861,0.088,0,"1","Ms4a6d"
0,5.10443520870988,0.827,0.059,0,"1","Adgre1"
0,3.12283654212112,0.899,0.132,0,"1","Ptprc"
0,2.97261537250802,0.985,0.22,0,"1","Tyrobp"
0,6.05259989058718,0.82,0.055,0,"1","Ms4a7"
0,2.8999018768851,0.903,0.141,0,"1","Cd53"
0,3.7533550030186,0.862,0.104,0,"1","Spi1"
0,2.81061355225449,0.925,0.167,0,"1","Alox5ap"
0,4.15822961081878,0.999,0.248,0,"1","Ctss"
0,2.87640487778602,0.886,0.155,0,"1","Lcp1"
0,3.15463697598366,0.811,0.09,0,"1","Ms4a6c"
0,3.29448936553159,0.876,0.155,0,"1","Plek"
0,4.70060819142453,0.784,0.064,0,"1","Ly86"
0,3.37422155966976,0.865,0.148,0,"1","Lilr4b"
0,3.50914139283273,0.939,0.231,0,"1","Ctsc"
0,5.0448356422158,0.763,0.064,0,"1","Trem2"
0,3.54867035622136,0.83,0.131,0,"1","Pla2g7"
0,2.77884358550203,0.865,0.177,0,"1","Slfn2"
0,2.70425013487852,0.885,0.212,0,"1","Ucp2"
0,3.88014133099131,0.848,0.177,0,"1","Wfdc17"
0,3.75290408532505,0.747,0.08,0,"1","Fyb"
0,3.80187577348906,0.728,0.066,0,"1","Cybb"
0,2.94243152955971,0.923,0.266,0,"1","Pf4"
0,3.79799146289615,0.738,0.086,0,"1","C5ar1"
0,3.31354495326342,0.923,0.275,0,"1","Cd14"
0,3.56421983711496,0.878,0.231,0,"1","Unc93b1"
0,3.27660379080459,0.761,0.115,0,"1","Mpeg1"
0,2.85366446082628,0.755,0.119,0,"1","Itgb2"
0,3.17584758081759,0.74,0.113,0,"1","Cfp"
0,3.84749629769752,0.693,0.07,0,"1","Ms4a6b"
0,3.61965103805024,0.692,0.073,0,"1","Clec4a2"
0,3.74014802498876,0.696,0.077,0,"1","Pld4"
0,2.81767481170926,0.793,0.175,0,"1","Clec4d"
0,4.11393969556739,0.685,0.074,0,"1","Cd300c2"
0,4.00205409571099,0.669,0.062,0,"1","Cd48"
0,3.62304979774189,0.722,0.118,0,"1","Tnf"
0,3.16164663416947,0.685,0.087,0,"1","Pirb"
0,3.70251534125146,0.676,0.081,0,"1","Ptpn18"
0,2.11617913206943,0.761,0.167,0,"1","Ccl6"
0,2.24070755372713,0.721,0.129,0,"1","Coro1a"
0,1.44253921118156,0.932,0.346,0,"1","Srgn"
0,3.13855204089353,0.893,0.309,0,"1","Pltp"
0,2.37624835315733,0.901,0.317,0,"1","Arhgdib"
0,4.15855952011476,0.632,0.052,0,"1","Clec4a3"
0,2.29405773829188,0.73,0.154,0,"1","Ccl9"
0,3.98167901240152,0.621,0.056,0,"1","Cd83"
0,4.1289735748868,0.679,0.13,0,"1","Ccl3"
0,3.50725336130312,0.644,0.095,0,"1","F13a1"
0,3.44799076819053,0.687,0.151,0,"1","Cxcl16"
0,3.29354070213101,0.642,0.112,0,"1","Rgs1"
0,3.90847670545235,0.582,0.055,0,"1","Aif1"
0,4.50041129669574,0.562,0.037,0,"1","Tmem37"
0,2.33069802392996,0.849,0.333,0,"1","Efhd2"
0,2.93560996343896,0.707,0.191,0,"1","Evi2a"
0,6.25252784600718,0.533,0.021,0,"1","Fcrls"
0,3.39871556231375,0.583,0.071,0,"1","Clec4n"
0,4.27996350643683,0.555,0.044,0,"1","Clec4a1"
0,2.95548148846025,0.733,0.223,0,"1","Rgs10"
0,6.0628397406967,0.522,0.014,0,"1","Hpgds"
0,2.69989318378429,0.911,0.404,0,"1","Ifi207"
0,3.51319516871568,0.567,0.064,0,"1","Igsf6"
0,3.24870242308619,0.674,0.172,0,"1","Tlr2"
0,2.13505036199196,0.623,0.122,0,"1","Cd52"
0,3.78214137984821,0.554,0.056,0,"1","Cd84"
0,2.31696405425289,0.577,0.079,0,"1","Msr1"
0,4.04604330846524,0.559,0.064,0,"1","Stab1"
0,3.31012111644412,0.565,0.07,0,"1","H2-DMa"
0,2.17003357896238,0.585,0.094,0,"1","Itgam"
0,2.76112046636148,0.876,0.385,0,"1","Ninj1"
0,2.42596491333644,0.822,0.331,0,"1","Ehd4"
0,2.38136968573721,0.855,0.366,0,"1","Plin2"
0,2.31905852028826,0.7,0.212,0,"1","Tpd52"
0,2.30238865037986,0.623,0.138,0,"1","Lyn"
0,3.24710273393233,0.549,0.073,0,"1","Slc11a1"
0,3.01862587455585,0.555,0.079,0,"1","Gmfg"
0,3.87330763710752,0.528,0.052,0,"1","Cd37"
0,3.02974519385468,0.555,0.079,0,"1","Cyth4"
0,3.18740992223337,0.545,0.069,0,"1","Fermt3"
0,2.59635653938494,0.607,0.133,0,"1","Cd36"
0,4.17027278684025,0.517,0.046,0,"1","Cd300ld"
0,3.71404351115166,0.524,0.057,0,"1","Lcp2"
0,2.97280583077987,0.543,0.077,0,"1","Ncf2"
0,3.11918006144573,0.57,0.116,0,"1","Arrb2"
0,4.08156448173225,0.539,0.096,0,"1","Gdf15"
0,4.19584495958281,0.482,0.041,0,"1","P2ry6"
0,4.84812061919165,0.997,0.556,0,"1","Lyz2"
0,3.07728155391044,0.532,0.093,0,"1","Nlrp3"
0,3.47878344737382,0.624,0.186,0,"1","H2-Ab1"
0,3.7183458658467,0.486,0.049,0,"1","Cd300a"
0,3.40784360283683,0.496,0.062,0,"1","Lpxn"
0,2.5439857093527,0.684,0.255,0,"1","Gltp"
0,3.71900215075098,0.485,0.056,0,"1","Fam105a"
0,2.68822732896813,0.512,0.083,0,"1","Hcls1"
0,4.15695278464907,0.465,0.041,0,"1","Bcl2a1b"
0,2.60565130323871,0.542,0.12,0,"1","Csf2ra"
0,2.7208347295417,0.5,0.079,0,"1","Selplg"
0,3.20395467333717,0.982,0.561,0,"1","Lgmn"
0,2.26504440324945,0.719,0.299,0,"1","Cndp2"
0,2.08873716499683,0.492,0.074,0,"1","Fcgr1"
0,3.4174573328591,0.48,0.062,0,"1","Tm6sf1"
0,3.38257988230961,0.538,0.122,0,"1","Ccrl2"
0,5.29593354735002,0.433,0.018,0,"1","Blnk"
0,2.77570650169598,0.506,0.093,0,"1","Ccr1"
0,5.50853277665839,0.44,0.027,0,"1","Cbr2"
0,1.83812450092418,0.535,0.123,0,"1","Cd93"
0,2.59314908070784,0.581,0.172,0,"1","Vsir"
0,2.07284195052788,0.65,0.243,0,"1","Cotl1"
0,4.54236997066012,0.432,0.027,0,"1","Slamf7"
0,4.55464139432194,0.43,0.027,0,"1","Lair1"
0,2.05047577597376,0.635,0.233,0,"1","Fam49b"
0,2.15319166816728,0.877,0.478,0,"1","Mafb"
0,2.73748728948991,0.477,0.078,0,"1","Rac2"
0,2.25121152043117,0.647,0.25,0,"1","Gla"
0,2.43908683453087,0.741,0.347,0,"1","Man2b1"
0,2.44508210893978,0.508,0.115,0,"1","Syk"
0,5.40417076933991,0.631,0.242,0,"1","Ccl4"
0,3.30679209464059,0.45,0.061,0,"1","Nrros"
0,2.56136735804561,0.478,0.091,0,"1","Entpd1"
0,2.46349310624294,0.804,0.418,0,"1","Dab2"
0,2.42726265832644,0.607,0.222,0,"1","Rab7b"
0,3.04112168098624,0.475,0.099,0,"1","Tmem106a"
0,3.53217601322876,0.596,0.22,0,"1","H2-Aa"
0,2.53711864926804,0.458,0.084,0,"1","Slc15a3"
0,2.5501746864409,0.516,0.143,0,"1","Nceh1"
0,2.48301650626318,0.465,0.093,0,"1","Cxcr4"
0,4.70689121767104,0.399,0.027,0,"1","Cd33"
0,2.25762218635152,0.679,0.308,0,"1","Tmem176b"
0,2.22939794532961,0.626,0.255,0,"1","Rilpl2"
0,5.80432852505572,0.385,0.016,0,"1","Folr2"
0,3.4264865096401,0.424,0.055,0,"1","Ms4a4a"
0,3.42144657229728,0.422,0.054,0,"1","Ptpn6"
0,3.6714268014093,0.415,0.048,0,"1","Rassf4"
