"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.63105665660273,0.335,0.007,0,"1","Gpr34"
0,6.38283760442677,0.941,0.113,0,"1","C1qc"
0,6.25252784600718,0.533,0.021,0,"1","Fcrls"
0,6.24517811404827,0.917,0.081,0,"1","C1qa"
0,6.11807028081642,0.953,0.172,0,"1","C1qb"
0,6.0628397406967,0.522,0.014,0,"1","Hpgds"
0,6.05259989058718,0.82,0.055,0,"1","Ms4a7"
0,5.80432852505572,0.385,0.016,0,"1","Folr2"
0,5.54751884241057,0.371,0.058,0,"1","Ccl12"
0,5.50853277665839,0.44,0.027,0,"1","Cbr2"
0,4.42774849263327,0.881,0.229,0,"2","Mest"
0,3.72481875053265,0.453,0.073,0,"2","Dlk1"
0,3.72475543704036,0.26,0.023,0,"2","6330403K07Rik"
0,3.63064690485157,0.93,0.222,0,"2","Ptn"
0,3.5565953938796,0.285,0.033,0,"2","Tro"
0,3.52996542497672,0.828,0.17,0,"2","H19"
0,3.17702732177852,0.998,0.589,0,"2","Postn"
0,2.9869197618866,0.456,0.086,0,"2","Atp1b1"
0,2.72514703726231,0.308,0.063,0,"2","Dnm3os"
0,2.60170826717393,0.663,0.198,0,"2","Plagl1"
0,4.49120864836084,0.298,0.033,0,"3","Stmn4"
0,3.81844595023354,0.385,0.058,0,"3","Efhd1"
0,3.34593722386211,0.425,0.07,0,"3","Cadm3"
0,3.2483794173631,0.434,0.12,0,"3","Ccl11"
0,3.18251523315794,0.257,0.057,0,"3","Olfml2a"
0,3.1072573240498,0.595,0.218,0,"3","Procr"
0,3.08250166987962,0.509,0.113,0,"3","C7"
0,3.02069031878791,0.529,0.232,0,"3","Cd55"
0,2.97402934880664,1,0.932,0,"3","Gsn"
0,2.93570366568579,0.702,0.192,0,"3","Pcolce2"
0,5.12296770645943,0.512,0.037,0,"4","Acan"
0,4.8867910604823,0.42,0.02,0,"4","Aqp5"
0,4.77719627059221,0.665,0.063,0,"4","Matn4"
0,3.47186372971937,0.863,0.216,0,"4","Col11a1"
0,3.33525670056969,0.561,0.114,0,"4","Crabp2"
0,3.2515359828578,0.97,0.422,0,"4","1500015O10Rik"
0,3.13727353267191,0.382,0.064,0,"4","Cd59a"
0,3.12088041857868,0.311,0.051,0,"4","Aqp2"
0,3.02940333970461,0.33,0.041,0,"4","Gm17455"
0,2.97843425427729,0.592,0.104,0,"4","Kera"
0,3.62349804989847,0.495,0.086,0,"5","Ereg"
0,3.55767980495262,0.627,0.089,0,"5","Crabp1"
0,3.5112410590925,0.278,0.05,0,"5","Saa3"
0,3.39704815609139,0.288,0.026,0,"5","Serpina3g"
0,3.38759593333859,0.329,0.036,0,"5","Chl1"
0,3.20131066595872,0.573,0.078,0,"5","Tnn"
0,3.0626867375227,0.326,0.034,0,"5","Slc38a4"
8.02286017139192e-311,2.90394637921397,0.4,0.116,4.30947934106317e-306,"5","Hp"
0,2.88002964922266,0.504,0.071,0,"5","Steap1"
0,2.72847059981341,0.323,0.044,0,"5","Gjb5"
0,3.5883526711158,0.879,0.145,0,"6","Hmcn2"
0,2.76545373691758,0.815,0.295,0,"6","Eln"
4.24733271165819e-304,2.67079974514257,0.255,0.047,2.2814547660672e-299,"6","Dio2"
