"set1","set2","n_shared","shared_genes"
"HALLMARK_TGF_BETA_SIGNALING","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",12,"ENSG00000088832, ENSG00000140564, ENSG00000119681, ENSG00000124225, ENSG00000172531, ENSG00000087074, ENSG00000166949, ENSG00000101665, ENSG00000198742, ENSG00000108854, ENSG00000105329, ENSG00000106799"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",11,"ENSG00000140564, ENSG00000077943, ENSG00000150093, ENSG00000259207, ENSG00000090006, ENSG00000166949, ENSG00000141646, ENSG00000105329, ENSG00000092969, ENSG00000106799, ENSG00000069702"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","HALLMARK_INFLAMMATORY_RESPONSE",8,"ENSG00000170961, ENSG00000105707, ENSG00000136244, ENSG00000259207, ENSG00000019169, ENSG00000157227, ENSG00000162493, ENSG00000028137"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","HALLMARK_TGF_BETA_SIGNALING",6,"ENSG00000125845, ENSG00000106991, ENSG00000140564, ENSG00000166949, ENSG00000105329, ENSG00000106799"
"Integrin_FAK","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",2,"ENSG00000150093, ENSG00000138448"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_FIBROBLAST_ACTIVATION",2,"ENSG00000162733, ENSG00000102760"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_TGF_BETA_SIGNALING",2,"ENSG00000159128, ENSG00000106366"
"HALLMARK_INFLAMMATORY_RESPONSE","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",2,"ENSG00000259207, ENSG00000105855"
"Integrin_FAK","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1,"ENSG00000150093"
"Integrin_FAK","HALLMARK_INFLAMMATORY_RESPONSE",1,"ENSG00000161638"
"RhoA_ROCK","HALLMARK_TGF_BETA_SIGNALING",1,"ENSG00000067560"
"Myofibroblast","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1,"ENSG00000133110"
"Myofibroblast","GOBP_FIBROBLAST_ACTIVATION",1,"ENSG00000107796"
"YAP_TEAD","Integrin_FAK",0,""
"YAP_TEAD","RhoA_ROCK",0,""
"YAP_TEAD","Myofibroblast",0,""
"YAP_TEAD","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",0,""
"YAP_TEAD","GOBP_FIBROBLAST_ACTIVATION",0,""
"YAP_TEAD","HALLMARK_INFLAMMATORY_RESPONSE",0,""
"YAP_TEAD","HALLMARK_TGF_BETA_SIGNALING",0,""
"YAP_TEAD","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0,""
"Integrin_FAK","RhoA_ROCK",0,""
"Integrin_FAK","Myofibroblast",0,""
"Integrin_FAK","GOBP_FIBROBLAST_ACTIVATION",0,""
"Integrin_FAK","HALLMARK_TGF_BETA_SIGNALING",0,""
"RhoA_ROCK","Myofibroblast",0,""
"RhoA_ROCK","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",0,""
"RhoA_ROCK","GOBP_FIBROBLAST_ACTIVATION",0,""
"RhoA_ROCK","HALLMARK_INFLAMMATORY_RESPONSE",0,""
"RhoA_ROCK","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0,""
"Myofibroblast","HALLMARK_INFLAMMATORY_RESPONSE",0,""
"Myofibroblast","HALLMARK_TGF_BETA_SIGNALING",0,""
"Myofibroblast","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0,""
"GOBP_FIBROBLAST_ACTIVATION","HALLMARK_INFLAMMATORY_RESPONSE",0,""
"GOBP_FIBROBLAST_ACTIVATION","HALLMARK_TGF_BETA_SIGNALING",0,""
"GOBP_FIBROBLAST_ACTIVATION","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0,""
