"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.60810766366593,0.336,0.007,0,"1","Gpr34"
0,6.40868873507497,0.943,0.113,0,"1","C1qc"
0,6.26805719607777,0.919,0.081,0,"1","C1qa"
0,6.17742952835941,0.531,0.022,0,"1","Fcrls"
0,6.13008076015087,0.955,0.172,0,"1","C1qb"
0,6.11394129325636,0.824,0.055,0,"1","Ms4a7"
0,6.08551474749087,0.524,0.014,0,"1","Hpgds"
0,5.8163168165528,0.385,0.016,0,"1","Folr2"
0,5.57060444574574,0.372,0.058,0,"1","Ccl12"
0,5.48358545672032,0.44,0.027,0,"1","Cbr2"
0,3.2195944792871,0.688,0.133,0,"2","Hmcn2"
0,3.18773798639333,0.31,0.048,0,"2","Chodl"
0,3.00999727695175,0.99,0.479,0,"2","Cilp"
0,2.83570365993938,0.344,0.071,0,"2","Ptx4"
0,2.82994291002158,0.854,0.204,0,"2","Fbln7"
0,2.77978674637281,0.275,0.063,0,"2","Tac1"
4.1959423805749e-312,2.72333190408804,0.265,0.069,2.25385044972581e-307,"2","Kctd1"
0,2.67677856374425,0.715,0.282,0,"2","Eln"
0,2.5575178615871,0.306,0.066,0,"2","Crispld1"
0,2.52903238712453,0.569,0.174,0,"2","Nox4"
0,4.42005182283026,0.88,0.227,0,"3","Mest"
0,3.70394461478482,0.257,0.022,0,"3","6330403K07Rik"
0,3.66322614327688,0.448,0.073,0,"3","Dlk1"
0,3.65250157377047,0.926,0.22,0,"3","Ptn"
0,3.56944219976804,0.824,0.168,0,"3","H19"
0,3.56628651676284,0.281,0.033,0,"3","Tro"
0,3.18125782202316,0.998,0.587,0,"3","Postn"
0,2.98378726899267,0.451,0.085,0,"3","Atp1b1"
0,2.71434543951016,0.304,0.062,0,"3","Dnm3os"
0,2.60514023228216,0.662,0.197,0,"3","Plagl1"
0,4.43932362785463,0.292,0.034,0,"4","Stmn4"
0,3.75910822110547,0.378,0.058,0,"4","Efhd1"
0,3.33380610514736,0.42,0.07,0,"4","Cadm3"
0,3.29522052041423,0.443,0.118,0,"4","Ccl11"
0,3.12976584197125,0.597,0.218,0,"4","Procr"
2.54418244651726e-316,3.12885805613541,0.251,0.057,1.36660760114675e-311,"4","Olfml2a"
